Date;Outlet
2003-07-07;0
2003-07-08;0
2003-07-09;0
2003-07-10;0
2003-07-11;0
2003-07-12;0
2003-07-13;0
2003-07-14;0
2003-07-15;0
2003-07-16;0
2003-07-17;0
2003-07-18;0
2003-07-19;0
2003-07-20;0
2003-07-21;0
2003-07-22;0
2003-07-23;0
2003-07-24;0
2003-07-25;0
2003-07-26;0
2003-07-27;0
2003-07-28;0
2003-07-29;0
2003-07-30;0
2003-07-31;0
2003-08-01;0
2003-08-02;0
2003-08-03;0
2003-08-04;0
2003-08-05;0
2003-08-06;0
2003-08-07;0
2003-08-08;0
2003-08-09;0
2003-08-10;0
2003-08-11;0
2003-08-12;0
2003-08-13;0
2003-08-14;0
2003-08-15;0
2003-08-16;0
2003-08-17;0
2003-08-18;0
2003-08-19;0
2003-08-20;0
2003-08-21;0
2003-08-22;0
2003-08-23;0
2003-08-24;0
2003-08-25;0
2003-08-26;0
2003-08-27;0
2003-08-28;0
2003-08-29;0
2003-08-30;0
2003-08-31;0
2003-09-01;0
2003-09-02;0
2003-09-03;0
2003-09-04;0
2003-09-05;0
2003-09-06;0
2003-09-07;0
2003-09-08;0
2003-09-09;0
2003-09-10;0
2003-09-11;0
2003-09-12;0
2003-09-13;0
2003-09-14;0
2003-09-15;0
2003-09-16;0
2003-09-17;0
2003-09-18;0
2003-09-19;0
2003-09-20;0
2003-09-21;0
2003-09-22;0
2003-09-23;0
2003-09-24;0
2003-09-25;0
2003-09-26;0
2003-09-27;0
2003-09-28;0
2003-09-29;0
2003-09-30;0
2003-10-01;0
2003-10-02;0.005416666666666667
2003-10-03;0
2003-10-04;0
2003-10-05;0
2003-10-06;0
2003-10-07;0
2003-10-08;0
2003-10-09;0
2003-10-10;0
2003-10-11;0
2003-10-12;0
2003-10-13;0
2003-10-14;0
2003-10-15;0
2003-10-16;0
2003-10-17;0
2003-10-18;0
2003-10-19;0.002916666666666667
2003-10-20;0.02125
2003-10-21;0.012083333333333333
2003-10-22;0
2003-10-23;0
2003-10-24;0
2003-10-25;0
2003-10-26;0
2003-10-27;0
2003-10-28;0
2003-10-29;0
2003-10-30;0
2003-10-31;0
2003-11-01;0
2003-11-02;0
2003-11-03;0
2003-11-04;0
2003-11-05;0
2003-11-06;0
2003-11-07;0
2003-11-08;0
2003-11-09;0
2003-11-10;0
2003-11-11;0
2003-11-12;0
2003-11-13;0
2003-11-14;0
2003-11-15;0
2003-11-16;0
2003-11-17;0
2003-11-18;0
2003-11-19;0
2003-11-20;0
2003-11-21;0
2003-11-22;0
2003-11-23;0
2003-11-24;0
2003-11-25;0
2003-11-26;0
2003-11-27;0
2003-11-28;0
2003-11-29;0
2003-11-30;0
2003-12-01;0
2003-12-02;0
2003-12-03;0
2003-12-04;0
2003-12-05;0
2003-12-06;0
2003-12-07;0
2003-12-08;0
2003-12-09;0
2003-12-10;0
2003-12-11;0
2003-12-12;0
2003-12-13;0
2003-12-14;0
2003-12-15;0
2003-12-16;0
2003-12-17;0
2003-12-18;0
2003-12-19;0
2003-12-20;0
2003-12-21;0
2003-12-22;0
2003-12-23;0
2003-12-24;0
2003-12-25;0
2003-12-26;0
2003-12-27;0
2003-12-28;0
2003-12-29;0
2003-12-30;0
2003-12-31;0
2004-01-01;0
2004-01-02;0
2004-01-03;0
2004-01-04;0
2004-01-05;0
2004-01-06;0
2004-01-07;0
2004-01-08;0
2004-01-09;0
2004-01-10;0
2004-01-11;0
2004-01-12;0
2004-01-13;0
2004-01-14;0
2004-01-15;0
2004-01-16;0
2004-01-17;0
2004-01-18;0
2004-01-19;0
2004-01-20;0
2004-01-21;0
2004-01-22;0
2004-01-23;0
2004-01-24;0
2004-01-25;0
2004-01-26;0
2004-01-27;0
2004-01-28;0
2004-01-29;0
2004-01-30;0
2004-01-31;0
2004-02-01;0
2004-02-02;0
2004-02-03;0
2004-02-04;0
2004-02-05;0
2004-02-06;0
2004-02-07;0
2004-02-08;0
2004-02-09;0
2004-02-10;0
2004-02-11;0
2004-02-12;0
2004-02-13;0
2004-02-14;0
2004-02-15;0
2004-02-16;0
2004-02-17;0
2004-02-18;0
2004-02-19;0
2004-02-20;0
2004-02-21;0
2004-02-22;0
2004-02-23;0
2004-02-24;0
2004-02-25;0
2004-02-26;0
2004-02-27;0
2004-02-28;0
2004-02-29;0
2004-03-01;0
2004-03-02;0
2004-03-03;0
2004-03-04;0
2004-03-05;0
2004-03-06;0
2004-03-07;0
2004-03-08;0
2004-03-09;0
2004-03-10;0
2004-03-11;0
2004-03-12;0
2004-03-13;0
2004-03-14;0
2004-03-15;0
2004-03-16;0
2004-03-17;0
2004-03-18;0
2004-03-19;0
2004-03-20;0
2004-03-21;0
2004-03-22;0
2004-03-23;0
2004-03-24;0
2004-03-25;0
2004-03-26;0
2004-03-27;0
2004-03-28;0
2004-03-29;0
2004-03-30;0
2004-03-31;2.7746195000000002e-5
2004-04-01;6.0009225e-5
2004-04-02;1.2905233333333333e-6
2004-04-03;2.5810466666666666e-6
2004-04-04;6.844368035714285e-5
2004-04-05;0
2004-04-06;0
2004-04-07;0
2004-04-08;0
2004-04-09;0
2004-04-10;0
2004-04-11;0
2004-04-12;0
2004-04-13;0
2004-04-14;0
2004-04-15;2.6163631944444443e-5
2004-04-16;0
2004-04-17;3.2693020833333336e-5
2004-04-18;0
2004-04-19;7.999840277777777e-6
2004-04-20;0
2004-04-21;0.0038041691458333333
2004-04-22;0.06448865838194444
2004-04-23;0.0035876528472222223
2004-04-24;0.1582548377986111
2004-04-25;1.2839423611111111e-5
2004-04-26;0.029044778736111113
2004-04-27;0.007626495120567376
2004-04-28;0
2004-04-29;9.6896125e-5
2004-04-30;0
2004-05-01;0
2004-05-02;0.031055563944444444
2004-05-03;0.037127837104166665
2004-05-04;0.040565524916666665
2004-05-05;0.019225142652777777
2004-05-06;0.006239796472222222
2004-05-07;0.004298038941176471
2004-05-08;9.19677e-4
2004-05-09;9.19677e-4
2004-05-10;9.19677e-4
2004-05-11;9.19677e-4
2004-05-12;9.19677e-4
2004-05-13;9.19677e-4
2004-05-14;9.19677e-4
2004-05-15;9.19677e-4
2004-05-16;9.19677e-4
2004-05-17;9.19677e-4
2004-05-18;4.8857840625e-4
2004-05-19;0
2004-05-20;0
2004-05-21;0
2004-05-22;0.0033630137916666665
2004-05-23;9.579968750000001e-6
2004-05-24;0
2004-05-25;0.5748365832145833
2004-05-26;0.016648045070833332
2004-05-27;0.0036780326520833334
2004-05-28;0.003645622927083333
2004-05-29;2.4033939583333332e-4
2004-05-30;9.582398333333333e-4
2004-05-31;0
2004-06-01;0
2004-06-02;2.4197916666666668e-6
2004-06-03;0
2004-06-04;0
2004-06-05;0
2004-06-06;0
2004-06-07;0
2004-06-08;0
2004-06-09;0
2004-06-10;8.872347916666667e-6
2004-06-11;0
2004-06-12;8.711002291666666e-5
2004-06-13;1.0243500833333334e-4
2004-06-14;4.7588047916666666e-5
2004-06-15;8.884223157894737e-5
2004-06-16;7.74314e-5
2004-06-17;6.129985833333333e-5
2004-06-18;4.35551625e-5
2004-06-19;0
2004-06-20;0
2004-06-21;0
2004-06-22;0
2004-06-23;0
2004-06-24;0
2004-06-25;1.6131541666666666e-6
2004-06-26;2.41973125e-6
2004-06-27;1.6131541666666666e-6
2004-06-28;2.41973125e-6
2004-06-29;2.1508722222222223e-6
2004-06-30;1.6131541666666666e-6
2004-07-01;5.377180555555556e-7
2004-07-02;5.377180555555556e-7
2004-07-03;2.6885902777777776e-6
2004-07-04;1.6131541666666666e-6
2004-07-05;5.914898611111111e-6
2004-07-06;3.2263083333333333e-6
2004-07-07;4.301744444444445e-6
2004-07-08;9.678925e-6
2004-07-09;3.2263083333333333e-6
2004-07-10;2.6885902777777776e-6
2004-07-11;0
2004-07-12;0
2004-07-13;0
2004-07-14;0
2004-07-15;0
2004-07-16;0
2004-07-17;0
2004-07-18;0
2004-07-19;0
2004-07-20;0
2004-07-21;0
2004-07-22;0
2004-07-23;5.377180555555556e-7
2004-07-24;0
2004-07-25;0
2004-07-26;0
2004-07-27;2.1508722222222223e-6
2004-07-28;5.377180555555556e-7
2004-07-29;0
2004-07-30;0
2004-07-31;0
2004-08-01;0
2004-08-02;5.377180555555556e-7
2004-08-03;1.9581554305555556e-4
2004-08-04;2.640366273381295e-4
2004-08-05;1.2960027943262413e-4
2004-08-06;7.74314e-5
2004-08-07;8.495927777777777e-5
