Date;P1;P3;P5;P6;P7;P9;P10;P12;P13
2003-07-01;NaN;-28.15;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-09;NaN;-28.96;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-10;-12.39;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-11;-12.392083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-12;-12.392916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-13;-12.396666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-14;-12.397083333333335;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-15;-12.399583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-16;-11.215833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-17;-7.24;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-18;-7.814666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-19;-8.687916666666666;-28.19;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-20;-9.359583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-21;-9.976666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-22;-10.677083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-23;-10.891666666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-24;-11.029583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-25;-11.120416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-26;-11.185;-28.19;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-27;-11.291666666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-28;-11.3225;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-29;-11.285;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-30;-11.259583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-07-31;-11.341666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-08-01;-11.45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-08-02;-11.525833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-08-03;-11.59125;-28.2;-39.93;-38.09;NaN;NaN;NaN;NaN;NaN
2003-08-04;-11.635833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-08-05;-11.669166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-08-06;-11.699583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-08-07;-11.724166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-08-08;-11.763333333333334;-28.16;-39.85;-37.89;NaN;NaN;NaN;NaN;NaN
2003-08-09;-11.78;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
